jj,file,sentence,decision,rationale,binary_decision,jj_category,privacy
latest,9622122,"Large meetings , such as A, B and C , are important venues for scientific exchange regarding the latest advances in HIV Comorbidity research , but smaller , more intimate formats , that emphasize discussion and networking are critical to the career development of HIV Comorbidity investigators .",HYPE,['gratuitous'],1,novelty,Yes
rigorous,9608184,The integrated rigorous research and clinical training experience gained from this career development award will enhance the researcher's potential to develop into a productive independent physician -scientist with a focus on biomedical research in pulmonary disease .,HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,Yes
powerful,9018823,"Due to this risk , powerful , broad spectrum antibiotics ( e.g. 3rd generation cephalosporins ) are empirically given .",NOT HYPE,[],0,rigour,No
latest,9682708,The Conference and Seminar on Dendrites will bring together researchers whose latest findings help clarify how the properties of dendrites enable them to perform complex computations important for sensory - motor processing and higher cognitive function .,NOT HYPE,[],0,novelty,Yes
creative,9460603,"In order for individuals from various backgrounds and disciplines to come together , develop synergy and be effective in developing creative solutions to these problems , they must be provided with the opportunity to develop necessary skills that will assist them with working in this capacity .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
latest,10045283,"s only university medical center , the University is home to some of the latest developments in patient care and community health , medical and health education , and biomedical and clinical research .",HYPE,['gratuitous'],1,novelty,Yes
latest,9543675,"The philosophy of the conference is to bring together basic researchers , clinicians , and public health experts to present and discuss the latest developments related to B vitamins and one-carbon metabolism .",HYPE,['gratuitous'],1,novelty,No
novel,9809834,"Based on these novel findings , we hypothesize that a ternary complex of ECD , R2TP and mRNA processing proteins ( PRPF8 and DDX39 ) promotes AR export and splicing in PCa to increase cell proliferation , cell survival and oncogenesis .",HYPE,['hyperbolic'],1,novelty,No
cohesive,9151017,Training grant funds will enable our group to increase the caliber of student recruits and provide an even more cohesive and rigorous innate immunity research community .,HYPE,"['gratuitous', 'coordinated']",1,rigour,No
quality,9816480,"Project objectives by facilitating practitioners to gain the necessary evidence , interventions , and dissemination to deliver health care that is safe , high quality , accessible , equitable , affordable , and free of disparities .",HYPE,"['gratuitous', 'coordinated']",1,rigour,Yes
advanced,9556864,"In addition , we are currently providing PK support for a trial on pomalidomide in combination with liposomal doxorubicin in patients with advanced or refractory Kaposi Sarcoma as well as another study on lenalidomide combined with modified DA - EPOCH and rituximab in primary effusion lymphoma of Kaposi sarcoma herpesvirus - associated large cell lymphoma .",NOT HYPE,[],0,rigour,No
unprecedented,9538430,"We combine state - of - the-art , innovative approaches : develop engineered E3 ligases / DUBs to enable unprecedented spatio-temporal control of KCNQ1 / HERG ubiquitination ; high - throughput flow cytometry ; proteomics ; biochemistry ; and electrophysiology to address three specific aims : 1 ) Develop and utilize engineered E3 ligases to control spatiotemporal , linkage - specific ubiquitination of KCNQ1 and HERG , and to elucidate the ubiquitin code regulation of these channels .",HYPE,"['hyperbolic', 'broader context']",1,novelty,No
detailed,9175488,"This proposal aims to provide a more detailed understanding of how upstream eicosanoid pathways can be variably active , imbalanced , and perturbed in relation to an individual ?",HYPE,['gratuitous'],1,rigour,No
careful,8991063,"Samples from the repository ( total n=3,500 individuals ) will b utilized , given the careful phenotype characterization and standardized collection of biospecimens that has been performed for each participant .",HYPE,['gratuitous'],1,rigour,Yes
groundbreaking,9285574,A recent ground breaking report revealed SIRT1 as one of the first two genes successfully linked to MDD in a genome - wide study .,HYPE,['hyperbolic'],1,novelty,No
unique,9935563,The rationale for the CBTP is that our faculty and program have the unique capability to advance biomedicine by providing training at the chemistry - biology interface .,HYPE,['gratuitous'],1,novelty,No
accurate,10025901,"Proofreading will be crowdsourced to nonscientist volunteers , a concept pioneered by Eyewire , but updated to handle a 1000 x larger dataset and far more accurate artificial intelligence .",HYPE,['amplified'],1,rigour,No
quality,9627276,"Studies performed at the central processing core sites have established methods for preparing high - yield , high - quality nucleic acids , tissue sections and other specimen types from LUSC and LUAD pre-cancers .",NOT HYPE,[],0,rigour,Yes
unparalleled,9325954,"Here we submit that the latest generation of an HIV - 1 nucleocapsid protein ( NCp7 ) inhibitor called SAMT - 247 , delivered in a novel intravaginal ring formulation with unparalleled release characteristics , fits all of these criteria .",HYPE,['hyperbolic'],1,novelty,No
emerging,9487194,"Support of this project will also advance the short - and long - term goals of an emerging young , female , minority scientist , Dr. K.",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,novelty,Yes
cohesive,9449999,"As part of the activities that the Administrative Core must develop to maintain a cohesive and integrated program , we will also establish an inclusive governance structure which includes the PI , the Core Directors and advisory committee members , as well as the administrative and technical staff .",HYPE,['gratuitous'],1,rigour,No
accurate,9741973,The project summary [ for the Administrative Core ] is a succinct and accurate description of the proposed work ?,NOT HYPE,[],0,rigour,No
unique,9943628,"While the intricate steps of germ cell development have long been hypothesized to provide unique windows of sensitivity to environmental insults , little is known of the effect of chemical exposure on the epigenome of germ cells and of the mechanisms of inheritance of these effects .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
unprecedented,9243746,"Project Summary / Abstract Recent advances in genomic technology have led to quantitatively measuring the transcript abundance in a single cell , creating an unprecedented opportunity to investigate important biological questions that can only be answered at the single - cell level such as early cell development , cell identity and changes in cell state .",HYPE,['hyperbolic'],1,novelty,No
systematic,9497589,"However , building upon NIMH ?s support for our initial efforts to ascertain TD trios as well as our highly successful experience with genomic investigations of autism spectrum disorders ( ASD ) , we have now demonstrated a clear path forward for reliable , systematic gene discovery in TD .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,No
groundbreaking,9468497,"However , this ground breaking study has four caveats : 1 ) mobilization is unlikely to be accepted as procedure to generate cRBCs for clinical or diagnostic use , 2 ) the amount of cRBCs generated ( ~ 5 m L of blood ) is one - log lower than the minimal dose required to transfuse a child ( 50 mL or 2.5x1011 RBCs ) , 3 ) normal volunteers are not ideal recipients for the first clinical trial to assess efficacy , and 4 ) the high costs to produce the cRBC limit their clinical use as product .",HYPE,['hyperbolic'],1,novelty,No
robust,9621195,The premise of the Phase II proposal is that an interbody implant with integrated DC stimulation will promote a faster and more robust spinal fusion in comparison to the current standard of care in a large animal model .,NOT HYPE,[],0,rigour,No
unique,9259190,"Given the experience and expertise of the co-organizers , planning committee and speakers , past meeting success , pairing with the major AD conference AAIC , and the novel programming , we expect this recurring event to energize the AD community and provide a unique and valuable opportunity for these families and AD research as a whole .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,novelty,No
detailed,9453091,"The application also outlines a detailed training plan involving didactic coursework , seminars , scientific conferences , and mentored experiences to provide the candidate with training in : ( 1 ) advanced neuroimaging techniques to study the neural correlates of social cognition in ASD ; ( 2 ) clinical trials research methodology with a goal of integrating neuroimaging wraparound studies into the methods ; and ( 3 ) advanced biostatistics and data analysis of complex neuroimaging datasets and clinical trials data .",HYPE,['gratuitous'],1,rigour,No
innovative,9914472,We will achieve these aims through combination of traditional and innovative formatting .,NOT HYPE,[],0,novelty,No
groundbreaking,9810898,These groundbreaking findings provide new hope in minimizing MDD disease burden .,HYPE,['hyperbolic'],1,novelty,No
detailed,9124884,"This renewal application of a highly productive collaborative program proposes to employ the versatile and well - characterized Streptomyces Venezuela pikromycin PKS , as well as the erythromycin , tylosin , curacin and bryostatin pathways which were the subjects of expanded detailed analysis during the previous cycle of support and are now poised for major new progress .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
careful,9444685,"Next , we will perform careful pharmacokinetic , pharmacodynamic , and adverse effect analysis of manipulating ?- catenin during development with a drug called G007 -LK .",HYPE,['gratuitous'],1,rigour,No
nuanced,9875651,Aim 2 : Develop and pilot-test a Discrete Choice Experiment ( DCE ) for a nuanced understanding of men 's preferences for male - centered TB care and treatment support interventions .,HYPE,['gratuitous'],1,rigour,No
latest,9715504,We will take advantage of the latest technologies to identify molecular alterations in inhibitory interneurons associated with cognitive impairment in mouse models of Alzheimer 's disease ( AD ) and humans with AD .,NOT HYPE,[],0,novelty,No
sophisticated,9831547,"Despite the complex cellular environments of arthropods and vertebrates having sophisticated systems of defense , the Anaplasmataceae pathogens evolved strategies to evade host clearance .",NOT HYPE,[],0,rigour,No
rigorous,9837139,"Rigorous evaluation of the symposium will involve summative assessment activities through online surveys conducted via the conference website to assess what participants learned , what was effective , and what needs improvement .",HYPE,['gratuitous'],1,rigour,No
creative,9303466,"An anthropologist will facilitate networked approaches for creative teaching of social determinants of health , their impact on health disparities , and CVD .",HYPE,['gratuitous'],1,novelty,Yes
first,9287824,<DISCARD>,NOT HYPE,[],0,novelty,Yes
groundbreaking,9786526,The Center made a ground breaking contribution to standardization of immunophenotyping as part of the Consortium .,HYPE,['hyperbolic'],1,novelty,Yes
nuanced,9267450,"Knowledge of the degree to which denervation is locally confined in EOMs and their brainstem motor nuclei could improve strabismus diagnosis , and provide a basis for nuanced targeting of surgical therapy only to the diseased compartment .",HYPE,['gratuitous'],1,rigour,No
rigorous,9275746,"The proposed 18 - month post-doctoral program will be globally oriented and include one academic year ( nine months ) at University J , completely embedded in a rich and rigorous bioethics and research environment , meeting regularly with U.S. and African peer trainees around multiple topics in bioethics and research , and then working closely and individually with a team of mentors to develop an individualized training plan and research project .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,Yes
cohesive,9650441,"This application for an NHLBI R35 Outstanding Investigator Award is to explore the role of the plasma protein von Willebrand factor ( VWF ) in 2 diseases , type 2 von Willebrand disease ( VWD ) and sickle cell disease ( SCD ) , and our goal is to roll 2 R01 grants covering these areas into a single , more cohesive grant with more flexibility to follow interesting scientific leads .",HYPE,['gratuitous'],1,rigour,No
reproducible,9104615,"In partnership with the G team , we plan to develop a user - friendly and reproducible research environment for RNA regulation .",HYPE,['gratuitous'],1,rigour,Yes
creative,9491308,"Most importantly , students are expected to acquire a broad background of the scientific literature , and critical thinking , as well as the creative spirit that underlies success in these research areas .",NOT HYPE,"['gratuitous', 'broader context']",0,novelty,No
latest,9120078,"Similar to each preceding conference in this series , this conference will bring together scientists from a broad range of biomedical disciplines to showcase the latest unpublished research findings that cover all aspects of chemokine function and provide a high - quality scientific forum to discuss their potential implications , including translation to the clinic .",HYPE,['gratuitous'],1,novelty,Yes
powerful,9449037,Transient perturbation is a powerful approach to probe recurrent neural networks .,HYPE,['gratuitous'],1,rigour,No
detailed,9600318,"As a first step , we will complete development of a repository of 30 patient - derived realistic models of abandoned / retained leads that incorporate detailed features of the lead structure and trajectory , co-registered in high - resolution anatomically detailed models of human body .",HYPE,['gratuitous'],1,rigour,No
rigorous,9595593,"electrode design for high resolution EIT imaging in nerve , and a rigorous evaluation of its performance and biocompatibility .",HYPE,['gratuitous'],1,rigour,No
first,9191364,"The first two aims will investigate the relationship between OPE measures and those from traditional mechanical testing , as well as the effects of physiological variables and sensitivity , to build our knowledge of OPE in human eyes under controlled experimental conditions ( i.e. , in do nor eyes ) and provide optimal parametric settings and framework for acquiring and interpreting in vivo data .",NOT HYPE,[],0,novelty,No
groundbreaking,10267902,This groundbreaking study will also facilitate the development of therapies to selectively inhibit the generation of autoreactive T cells and their trafficking to the site of inflammation without affecting the capacity of the host to mount a proper inflammatory response to pathogens .,HYPE,['hyperbolic'],1,novelty,No
creative,9267412,"In addition to providing an opportunity to discover basic mechanisms of aging , our work may also lead to creative intervention strategies that ameliorate aging - related functional decline in humans .",HYPE,['gratuitous'],1,novelty,No
latest,9203910,Abstracts of all oral and poster presentations as well as selected full - length papers will be published in the Journal of Medical Primatology ( JMP ) to represent the latest results from HIV / AIDS re - search using nonhuman primates ( NHP ) .,NOT HYPE,[],0,novelty,No
robust,10041254,"There are more than 2 million Americans with opioid use disorder ( OUD ) , contributing to unprecedented levels of overdoses and drug-related mortality in the U.S. Several approved medications for OUD ( MOUD ) are available , and robust evidence shows them to be more effective than abstinence or psychosocial therapy alone in helping individuals achieve and maintain remission .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
quality,9828272,"We will continue our core prospective , longitudinal observational study of glomerular disease patients , enrolling additional subjects by a recruit- to - replace strategy to maintain an active cohort of 2400 , while banking and curating high quality clinical data and biomaterials .",HYPE,['gratuitous'],1,rigour,No
innovative,10058976,"The Center ?s Specific Aims are : 1 ) To provide critical state of the art reagents and expertise to a national group of PKD investigators 2 ) To provide critical state of the art reagents and expertise to non - PKD investigators in order to remove barriers to PKD related research 3 ) To develop innovative reagents and resources that will advance biomedical discoveries in the field of PKD 4 ) To drive collaboration between MPKD -RTCC Cores and other RTCCs within the PKD Research Consortium and 5 ) To partner with other RTCCs , the consortium steering committee including the NIDDK to achieve the overall goals of the PKD Research Consortium .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
latest,9853999,"Our latest results have demonstrated key structural requirements , such as 2 - sulfation at galactose units , 4 - sulfation at fucose units and longer chains for the anticoagulant and antithrombotic activities of the sea urchin-derived SGs .",NOT HYPE,[],0,novelty,No
rigorous,9933659,The PSTP thus provides a contemporary and exciting training opportunity for motivated students within a rigorous and nurturing environment and aims to generate Ph.D. graduates of the highest level of technical and theoretical preparedness .,HYPE,"['gratuitous', 'broader context']",1,rigour,No
detailed,9193332,"We propose further development of the model , coupled with detailed characterization of the HRF .",HYPE,['gratuitous'],1,rigour,No
groundbreaking,9448794,Assistive machines such as wheelchairs and robotic arms offer a groundbreaking path to independence : where control over their environment and interactions is returned to the person .,HYPE,['hyperbolic'],1,novelty,No
revolutionary,9317625,"If the HIIT intervention is shown to be well - tolerated and promising , results of this preliminary study will lay the foundation for a large randomized controlled trial to establish the efficacy of HIIT as a revolutionary approach for enhancing the rehabilitation and management of knee OA .",HYPE,['hyperbolic'],1,novelty,No
rigorous,9104218,"Together with her mentoring team , the candidate has developed a rigorous training program that includes the research plan outlined below , formal coursework , one - on - one tutorials , and multi-disciplinary research group meetings , journal clubs , and conferences .",HYPE,['gratuitous'],1,rigour,No
reproducible,10009998,"Models to study drug / nutrient absorption , xenobiotics , toxicology , and preclinical efficacies are hampered by the lack of accurate , reproducible , and easy to use cell culture models to evaluate such topics .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
rigorous,9991579,"First , there is a shortage of experimentally based , sophisticated computational approaches for astrocyte data analysis and interpretation that could aid in guiding new , hypothesis-driven and rigorous experiments .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,No
accurate,10016027,This study is going to be an example of obtaining an accurate estimate of the association between drug exposure and health status .,HYPE,['gratuitous'],1,rigour,No
robust,9358538,"In hippocampal slices , hibernation confers robust resistance to hypoxia and glucose deprivation as compared to slices from non-hibernating ground squirrels and rats at 37 degrees C , 20 degrees C and 7 degrees C .",NOT HYPE,[],0,rigour,No
rigorous,9294500,1 ) To conduct rigorous research evaluating the clinical efficacy and mechanisms of mind - body therapies in cardiovascular and pulmonary disease and other chronic conditions ;,HYPE,['gratuitous'],1,rigour,No
advanced,9704545,MD trainees without an advanced degree in clinical research methodology are offered coursework to obtain a Master 's Degree in Clinical Research or an MPH from the Department of Epidemiology .,NOT HYPE,[],0,rigour,Yes
groundbreaking,9702991,"However , most of the sample sets employed in these groundbreaking studies were derived from White or East Asian patients .",HYPE,"['hyperbolic', 'gratuitous']",1,novelty,No
powerful,9828288,"The current research findings will exert a sustained and powerful influence on the field by providing novel insight and direction for reducing the deleterious effects of cancer in Hispanics of Mexican origin , and will establish research center A and the El Paso / Juarez borderplex as critical drivers of Hispanic cancer health disparities research .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,Yes
revolutionary,9711662,The proposed research is significant because it provides a revolutionary detergent - free approach for study membrane proteins in their local lipid environment .,HYPE,['hyperbolic'],1,novelty,No
sophisticated,9872396,"In turn , more sophisticated models of ASD neurobiology will help to guide and assess behavioral interventions aimed at improving the quality of life of individuals diagnosed with ASD .",NOT HYPE,['gratuitous'],0,rigour,No
revolutionary,9389643,"To overcome these challenges , we developed a mosquito-specific alphavirus , Eilat virus ( EILV ) , as a revolutionary new vaccine vector .",HYPE,['hyperbolic'],1,novelty,No
first,9978260,"The highest incidence occurs in women during their early reproductive ages , and the onset of vulvodynia may occur during adolescence with patients reporting pain at first tampon use .",NOT HYPE,[],0,novelty,No
careful,9142949,The careful balance between the expression and activity of lysine acetyl transferases ( KATs ) and lysine deacetylases ( KDACs ) maintains the acetylome of a cell .,HYPE,['gratuitous'],1,rigour,No
innovative,10031100,"Thus , disease relapse and bone disease remain major unmet medical needs that require innovative approaches to effectively treat MM .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
quality,9149095,The PRMS performance metrics are generated by the clinical research system OnCoreÆ and provide the basis for PRMS quality improvement initiatives .,NOT HYPE,[],0,rigour,No
advanced,9326410,"This project will provide me advanced skills in molecular physiology and cell biology , and I will be trained in translational research methodologies and regulatory science to strengthen my development into an independent investigator .",HYPE,['gratuitous'],1,rigour,No
careful,9185652,"Therefore , careful pharmacokinetic ( PK ) evaluation is a critical first step to ensure safe administration of drugs to both the mother and the developing fetus .",HYPE,['gratuitous'],1,rigour,No
powerful,10204840,"This work is innovative because it takes a completely a priori approach to discovering mechanisms of limb regeneration , it does so at the single - cell level , and it capitalizes on powerful new techniques for examining gene function .",HYPE,"['gratuitous', 'coordinated]",1,rigour,No
nuanced,9759037,"Regarding practical contributions , a more nuanced understanding of the links between vagal tone ( resting , reactivity , coregulation ) and social functioning can identify specific physiological deficits to target in interventions .",HYPE,['gratuitous'],1,rigour,No
emerging,9356526,An emerging idea is that epigenetic marking of the genome may underlie the genesis of these outcomes .,NOT HYPE,[],0,novelty,No
strong,9146664,These innovations and the strong institutional support distinguish our program from other programs in the country .,HYPE,['gratuitous'],1,rigour,Yes
strong,9664925,"My prior social science training in social inequality , social psychology , life course and development , and risky behavior as well as my quantitative skills provide a strong sociological foundation .",HYPE,['gratuitous'],1,rigour,No
emerging,9617549,"In the past decade , an emerging neuroimaging technique ?",NOT HYPE,[],0,novelty,No
revolutionary,10081009,This proposed Phase I SBIR will show feasibility of a revolutionary broad -band multi-mode waveguide for use in the 85- 1000 GHz range ( as needed for NMR at 3 - 35 T ) that can easily be manufactured at diameters small enough to make MAS - DNP probes practical in existing NB high - field magnets .,HYPE,['hyperbolic'],1,novelty,No
reproducible,9648538,A fundamental barrier in cGVHD management and research is a lack of sensitive and objective assessment tools that permit objective and reproducible measures of disease severity and progression .,HYPE,"['gratuitous', 'coordinated', 'broader context']",1,rigour,No
careful,9049825,"Thus , mitochondrial biogenesis requires careful regulation , however , the mechanisms employed by differentiating cells to acquire the precise number remains poorly understood .",HYPE,['gratuitous'],1,rigour,No
systematic,9250169,"It provides a systematic framework for extracting the relevant information from unnamed spectra through a kernel that highlights the similarities and differences between samples , and in turn boosts the signal from named metabolites .",HYPE,['gratuitous'],1,rigour,No
first,9541002,"My first Aim is to establish the role of RGS12 in modulating opioid addictive potential , opioid withdrawal , and chronic opioid - use tolerance .",NOT HYPE,[],0,novelty,No
first,9361477,Recently we published our first in vivo preliminary results showing the performance of our plaque elasticity reconstruction model iMOD to extract morphology and elasticity map from the IVUS sequence in twelve patients referred for a directional coronary atherectomy .,NOT HYPE,['priority claim'],0,novelty,No
unparalleled,9764966,"The mission of the Core D is to provide unparalleled molecular virology and sequencing support , services , facilities , consultation , and training to investigators on campus , as well as the HIV / AIDS research community more broadly .",HYPE,['hyperbolic'],1,novelty,Yes
strong,9844644,Our graduates have a strong record of achievements as academicians and scientists .,HYPE,['gratuitous'],1,rigour,No
novel,9336859,"This proposal will test a novel niche factor that likely plays an important role in tumor propagation , and these results may direct innovative therapeutic interventions for the treatment of GBM .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,novelty,No
scientific,9853480,"The scientific mission of this SCORE is to identify stress - immune pathway abnormalities , beginning in fetal development , that have shared consequences for sex differences in brain circuitry regulating mood and lifelong recurrent MDD and dysregulation of hormone and immune responses to stress , and autonomic and neurovascular dysfunction in early midlife .",NOT HYPE,[],0,rigour,No
robust,9783466,We are now using intestinal microvilli as an accessible and robust model system to understand the role of TMC4 and TMC5 and their possible functional similarities to TMC1 and TMC2 .,HYPE,"['gratuitous', 'coordinated']",1,rigour,No
detailed,9307468,"We generated PD-L1KO B16 by CRISPR for highly detailed follow up mechanistic studies , and to assess if PD - L1 null status differentially affects treatment versus PD - L1lo .",HYPE,"['gratuitous', 'amplified']",1,rigour,No
careful,9711420,"Strengths of the proposed trials include the controlled design , selection of patients most likely to benefit ( those with low T3 levels ) , careful titration of LT3 , and use of clinically relevant outcomes .",HYPE,['gratuitous'],1,rigour,No
cohesive,9171452,DMS works as a cohesive team to support its aims and center activities .,HYPE,['gratuitous'],1,rigour,No
first,9157808,Endemic chikungunya fever was reported in the Americas for the first time in 2013 and is now spreading into the Caribbean and Mexico .,NOT HYPE,[],0,novelty,No
accurate,9249846,"We propose to develop ( a ) new methods for accurately inferring clones from tumor profiles , which will employ principles of molecular phylogenetics and ancestral sequence inference for the first time and produce accurate estimates of the clones present in each tumor sample and the frequency of each clone in each sample ; ( b ) new methods for evolutionary analysis of clone sequences , which will overcome biases introduced by the fact that tumor profile samples and , thus , clone sequences contain only a subset of all sites in the regions sequenced ; and ( c ) a suite of software products to enable the use of our methodological advances in cancer research , which will thereby enable high - throughput and in - depth analysis of tumor genomic data .",HYPE,"['gratuitous', 'broader context']",1,rigour,No
accurate,9164052,"While timely and accurate diagnosis is crucial for improved visual outcomes , a definitive diagnosis is often not possible given the significant knowledge gap in factors predisposing to eye infections and the limitations of available diagnostic tests in ophthalmology .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
cohesive,8998791,"As supported by innovative Administrative and Research Cores , this P01 as a whole will have a major impact in the field by examining a central hypothesis and 3 cohesive , interactive aims : 1 . CENTRAL HYPOTHESIS : Activity of the LC at the time of and in response to surgical injury is a key determinant of speed of recovery across pain and other patient - centered domains 2 .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
robust,9566641,"These data suggest that the macrophage response system has evolved to limit potentially damaging inflammation in the face of minor pulses of PAMP or DAMP signals engaging TLR ( the steady - state ) , but to prepare for anti-pathogen responses under such conditions incase these weak signals are not from commensals or normal tissue turnover but from an incipient infection ; if the stimulus continued to increase , as would typically be the case mainly when there is an active pathogenic infection , then the digital nature of the MAPK pathways in the context of priming through NFkB at lower ligand levels gives an immediate robust response .",NOT HYPE,[],0,rigour,No
systematic,9702040,"However , systematic in vitro studies are lacking in literature on how the phenotypic response of macrophages and their cytokine release as a function of various material parameters affect other types of cells participating in the material integration .",NOT HYPE,[],0,rigour,No
systematic,10020049,"This ambitious , hypothesis generating goal is well beyond the capacities of any single lab and we have joined forces with the consotium which is a group of 10 different laboratories with the necessary wide range of expertise .",NOT HYPE,[],0,rigour,Yes
accurate,9908593,"The focus of this proposal is to develop a collection of well - characterized standard isotopically labeled glycoproteins to enable the accurate , robust , and reproducible analysis of N - and O-linked glycans at the relative and potentially absolute level .",HYPE,"['gratuitous', 'coordinated']",1,rigour,No
emerging,9417548,"With the rapid progress in cancer biology , there is a great need to train academic surgical oncologists that can not only deliver state of the art surgical care , but can also lead multidisciplinary teams and research programs leveraging molecular oncology , immunology and other emerging fields .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
advanced,9394055,"This research is integrated with a training plan that emphasizes advanced causal inference techniques , specifying community effects on health , and designing survey research through coursework and formal and informal mentoring .",HYPE,['gratuitous'],1,rigour,No
emerging,9499504,"Training in cancer survivorship research with his mentor , Dr. C , is focused on the addition of brain imaging into his emerging program of research .",HYPE,['gratuitous'],1,novelty,Yes
reproducible,9082786,"It provides a robust and reproducible clinical measure of the integrated hemodynamic effects of epicardial coronary artery disease , diffuse atherosclerosis , and microvascular dysfunction on myocardial tissue perfusion .",HYPE,['coordinated'],1,rigour,No
advanced,10014886,"In the 3+3 dose -escalation component of this phase I study , eligible patients with advanced solid tumors received M7824 at 1 , 3 , 10 , or 20 mg / kg once every 2 weeks until confirmed progression , unacceptable toxicity , or trial withdrawal ; in addition , a cohort received an initial 0.3 mg / kg dose to evaluate pharmacokinetics / pharmacodynamics , followed by 10 mg / kg dosing .",NOT HYPE,[],0,rigour,Yes
rigorous,9358013,"The program will : 1 ) train primarily physicians to be rigorous , independent academic investigators able to use a wide range of epidemiological methods to address clinical cancer research questions using a variety of designs ; 2 ) provide closely mentored research experiences with faculty preceptors in clinical epidemiology , biostatistics , and cancer ; and 3 ) strengthen the links between traditional epidemiology and cancer research .",HYPE,['gratuitous'],1,rigour,No
latest,9553335,"The past several years has been an exciting period for genome engineering , our core has spent a significant portion of our efforts on keeping up with the latest technological advancements , especially the CRIPSR ( clustered regularly interspaced short palindromic repeat ) technology .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
creative,9631258,"The projects were multidisciplinary as a requirement , and in many cases creative cross-disciplinary interactions were formed , matching population scientists with basic laboratory investigators or clinical investigators .",HYPE,"['gratuitous', 'coordinated', 'broader context']",1,novelty,No
reproducible,9792705,When combined these advances allow new levels of reproducible and accurate quantitation of analytes at the lowest concentrations .,HYPE,"['gratuitous', 'coordinated']",1,rigour,No
first,9592651,"The availability of multiple blood samples from each individual prior to MS onset allows an accurate estimate of long term average 25 ( OH ) D levels , and the diverse composition of the study population will allow for the first time to obtain accurate estimates of the relation between vitamin D and MS risk among US blacks , to determine whether the relation between 25 ( OH ) D and MS risk is modified by age or gender , and to explore gene - environment interactions that have potentially important public health implications .",HYPE,['priority claim'],1,novelty,No
unique,9104704,"Using a combination of molecular and cell biology techniques and unique animal models , we will determine 1 ) if the presence of the AHR in bone marrow niche cells has a role in the regulation of Ahr expression in HSCs and / or control of HSC function , 2 ) if the down - regulation of Ahr is absolutely necessary for HSC to transit from quiescence to proliferation , and 3 ) the mechanism ( s ) responsible for Ahr down -regulation .",HYPE,['gratuitous'],1,novelty,No
unprecedented,9233171,The enediynes represent one of the most fascinating families of natural products for their unprecedented molecular architecture and extraordinary biological activities .,HYPE,"['hyperbolic', 'broader context']",1,novelty,No
strong,9528546,"Indeed , a strong link between WM and smoking has been established in the literature ; most notably , degree of WM impairment and deficits in activation in associated brain regions predict time to relapse , and WM moderates the relationship between craving and relapse .",NOT HYPE,[],0,rigour,No
rigorous,9631705,"Predoctoral trainees are required to take a core curriculum in Immunology and related biomedical sciences prior to joining a thesis lab , and soon thereafter to pass a rigorous Admission to Candidacy exam .",HYPE,['gratuitous'],1,rigour,No
sophisticated,9627648,"Users will interface with the atlas through a sophisticated viewer / query browser - based web portal that will support both traditional text - based queries , as well as spatial - based queries ( shape , feature locations , etc . ) .",HYPE,['gratuitous'],1,rigour,No
careful,9983351,"All participants underwent a comprehensive baseline assessment , including state - of - the - art brain imaging , comprehensive neuropsychological testing , bioassays , careful assessment of substance use , mental health , physical health , culture and environment , and mobile monitoring every 2 years .",HYPE,['gratuitous'],1,rigour,No
unparalleled,9588059,"Here we propose to bring an extremely strong team of theorists together to model the circuitry of mouse primary visual cortex ( V1 ) in unparalleled depth , in tight interaction with experimentalists who will produce transformative data to inform and test our models .",HYPE,"['hyperbolic', 'broader context']",1,novelty,No
revolutionary,10022657,"Staffed with seven flow cytometry specialists committed at 100 % to this facility , the SRF provides operational , training , and consultation services covering all aspects of flow cytometry including fundamental cell biology principles , analyses , isolation single cells from cancer patients , and identification of over thirty different cell surface / intracellular antigens on the same cell using the revolutionary A platform .",HYPE,"['hyperbolic', 'broader context']",1,novelty,Yes
unique,9115881,Utilizing our novel Mtb protein microarray based on a unique nucleic acid programmable protein array ( NAPPA ) format that allows screening of sera for Abs to the entire Mtb proteome we have identified ~ 220 protein targets that are recognized by HIV + TB patients but not those with quiescent LTBI .,HYPE,['gratuitous'],1,novelty,No
emerging,9877429,"These studies pioneer a new level of gene regulation for MSC lineage commitment to osteogenesis , based on an emerging understanding of SED functions in other tissues but have been minimally studied in bone .",HYPE,"['gratuitous', 'broader context']",1,novelty,No
